product_id,product_name,product_type,category,price,cost,available_stock
1,Silk Base Coat 50ml,Base Coat,Nail Care,38.8,18.27,126
2,Fresh Top Coat 100ml,Top Coat,Nail Care,20.03,14.02,112
3,Pure Shampoo 250ml,Shampoo,Shampoo,11.62,6.26,117
4,Radiant Top Coat 75ml,Top Coat,Nail Care,14.64,7.47,125
5,Hydra Body Scrub 100ml,Body Scrub,Body Care,8.42,5.36,133
6,Glow Nail Polish 150ml,Nail Polish,Nail Care,32.5,21.47,126
7,Hydra Shampoo 30ml,Shampoo,Shampoo,4.55,2.73,118
8,Revive Shampoo 100ml,Shampoo,Shampoo,14.48,9.71,136
9,Balance Nail Clippers 100ml,Nail Clippers,Nail Tools,25.93,11.2,122
10,Silk Cuticle Oil 50ml,Cuticle Oil,Nail Care,7.27,4.04,116
11,Repair Dry Shampoo 150ml,Dry Shampoo,Shampoo,5.37,2.98,113
12,Calming Top Coat 150ml,Top Coat,Nail Care,2.65,1.28,129
13,Gentle Lip Balm 150ml,Lip Balm,Makeup,13.1,6.73,117
14,Velvet Base Coat 50ml,Base Coat,Nail Care,6.59,3.56,113
15,Clarifying Blush 150ml,Blush,Makeup,33.16,18.81,122
16,Velvet Scalp Serum 200ml,Scalp Serum,Hair Treatment,4.75,2.69,123
17,Repair Toner 75ml,Toner,Face Care,25.1,15.3,144
18,Clarifying Toner 30ml,Toner,Face Care,5.8,3.17,110
19,Gentle Face Cleanser 100ml,Face Cleanser,Face Care,4.9,2.0,121
20,Nourish Body Wash 200ml,Body Wash,Body Care,6.28,3.21,120
21,Repair Conditioner 150ml,Conditioner,Conditioner,38.87,19.61,127
22,Gentle Toner 100ml,Toner,Face Care,6.28,2.63,127
23,Silk Leave-in Treatment 30ml,Leave-in Treatment,Hair Treatment,41.0,16.85,111
24,Calming Toner 200ml,Toner,Face Care,19.34,10.53,132
25,Glow Hair Oil 50ml,Hair Oil,Hair Treatment,10.86,6.48,109
26,Nourish Hair Mask 30ml,Hair Mask,Hair Mask,7.09,3.73,116
27,Fresh Nail Brush 50ml,Nail Brush,Nail Tools,75.46,44.51,108
28,Nourish Blush 75ml,Blush,Makeup,10.27,6.94,117
